"","id_stanice","prohlidky_celkem","docasne_zpusoblile_pocet","docasne_zpusobile_pct","nezpusobile_pocet","nezpusobile_pct","zpusobile_pocet","zpusobile_pct","blank","prum_poc_zavad_lehke","prum_poc_zavad_vazne","prum_poc_zavad_nebezpecne","druh_stk","psc","mesto","ulice","provozovatel","telefon","email","orp","okres","kraj"
"16",3119,5496,485,8.82,54,0.98,4957,90.19,NA,2,0.28,0.01,"OA, ZS","153 00","Praha 5","Výpadová 1559","AUTO FEMAT s.r.o.","242 410 660-1","stk@femat-auto.cz","Praha","Praha","Hlavní město Praha"
"17",3120,12001,1503,12.52,62,0.52,10436,86.96,NA,0.91,0.38,0.01,"OA, ZS","198 00","Praha 14","Skorkovská  1537","TÜV NORD Czech, s.r.o.","281 915 951, 281 915 952","zizkovsky@tuev-nord.cz; stk-praha@tuev-nord.cz","Praha","Praha","Hlavní město Praha"
"18",3121,7893,426,5.4,16,0.2,7451,94.4,NA,1.1,0.13,0,"OA, ZS","170 00","Praha 7","Za elektrárnou 19","STK Holešovice s.r.o.","267052285","stk@stkholesovice.cz","Praha","Praha","Hlavní město Praha"
"19",3122,9576,513,5.36,16,0.17,9047,94.48,NA,1.2,0.14,0,"OA, ZS","163 00","Praha 6","Karlovarská 814","NH group s.r.o.","725392611","stkrepy@stkrepy.cz","Praha","Praha","Hlavní město Praha"
"20",3123,7781,411,5.28,43,0.55,7327,94.17,NA,1.64,0.13,0.01,"OA, ZS","148 25","Praha 4","Dobronická 1216","STK Kunratice spol. s r.o.","242456194","stkkunratice@gmail.cz","Praha","Praha","Hlavní město Praha"
"21",3124,7729,166,2.15,19,0.25,7544,97.61,NA,4.04,0.04,0,"OA, TRA","184 00","Praha 8","Dopraváků 723/1","TEKOSO-STK spol.s r.o.","283085164","stk3124@seznam.cz","Praha","Praha","Hlavní město Praha"
"22",3125,4345,108,2.49,6,0.14,4231,97.38,NA,2.64,0.04,0,"OA, TRA","104 00","Praha 10 Uhřiněves","Podleská 1545/1","PETRA s.r.o.","267315085","stk3125@seznam.cz","Praha","Praha","Hlavní město Praha"
"23",3126,10551,1072,10.16,71,0.67,9408,89.17,NA,1.56,0.22,0.01,"OA","149 00","Praha 4","Ohradní","PRONTO STK s.r.o.","607691696","stkpraha@stkpraha.cz","Praha","Praha","Hlavní město Praha"
"24",3127,4116,255,6.2,49,1.19,3812,92.61,NA,1.58,0.19,0.01,"OA","184 00","Praha 9","Dopraváků 874/15","TEKOSO-STK spol.s r.o.","273130110","stk3127@seznam.cz","Praha","Praha","Hlavní město Praha"
"25",3128,6449,422,6.54,13,0.2,6014,93.25,NA,1.25,0.18,0,"OA","149 00","Praha 4","Mezi vodami 1097/25","ESPM s.r.o.","725888170","info@stk-modrany.cz","Praha","praha","Hlavní město Praha"
"26",3201,0,0,0,0,0,0,0,NA,0,0,0,"NA, TRA, ZS","261 01","Příbram","K Podlesí 539","BOVAS s.r.o.","318628552","stkpbsro@volny.cz","Příbram","Příbram","Středočeský kraj"
"27",3202,12093,924,7.64,115,0.95,11054,91.41,NA,1.99,0.18,0.01,"OA, NA, TRA, ZS","276 01","Mělník","Mladoboleslavská 2801","STK Mělník Mladoboleslavská s.r.o.","315623328","stkmelnik@stkmelnik.cz;","Mělník","Mělník","Středočeský kraj"
"28",3203,5136,144,2.8,27,0.53,4965,96.67,NA,1.4,0.07,0.01,"OA, ZS","274 01","Slaný","Netovická 350","TERRI s.r.o.","312527670","stk.slany@terri.cz","Slaný","Kladno","Středočeský kraj"
"29",3204,3846,198,5.15,24,0.62,3624,94.23,NA,4.1,0.1,0.01,"OA, TRA, ZS","285 04","Uhlířské Janovice","Kolínská 670","STK Janovice, s.r.o.","327542266","stkjanovice-osobni@seznam.cz","Kutná Hora","Kutná Hora","Středočeský kraj"
"30",3205,5784,409,7.07,19,0.33,5356,92.6,NA,3.99,0.14,0,"OA, TRA, ZS","257 26","Divišov","Na Pile 300","STK Divišov s.r.o.","317 855 330","stkdivisov@volny.cz","Benešov","Benešov","Středočeský kraj"
"31",3206,5016,348,6.94,26,0.52,4642,92.54,NA,2.58,0.18,0.01,"OA, TRA, ZS","294 41","Dobrovice","Kosořická 580","STK - PECHA v.o.s.","326398112","pecha-stk@quick.cz","Mladá Boleslav","Mladá Boleslav","Středočeský kraj"
"32",3207,10175,580,5.7,274,2.69,9321,91.61,NA,2.42,0.16,0.03,"OA, ZS","272 04","Kladno","Vašíčkova 71","AUTOŠTOL-STK s r.o.","312 267 113","stk3207@stkkladno.cz","Kladno","Kladno","Středočeský kraj"
"33",3208,5323,458,8.6,45,0.85,4820,90.55,NA,3.43,0.25,0.01,"OA, ZS","261 01","Příbram","Obecnická 323","ASOCOM spol. s r.o.","318635564","bergers@asocom.cz; manager@asocom.cz","Příbram","Příbram","Středočeský kraj"
"34",3209,6168,380,6.16,106,1.72,5682,92.12,NA,2.14,0.22,0.03,"OA, TRA, ZS","288 02","Nymburk","Maršála Koněva 660/44","ŠPÁRA, s.r.o.","325 513 653","stk@spara.cz","Nymburk","Nymburk","Středočeský kraj"
"35",3210,6359,760,11.95,66,1.04,5533,87.01,NA,3.34,0.39,0.02,"OA, ZS","280 02","Kolín","Ovčárecká 509","Stanice technické kontroly Kolín spol. s r.o.","321724966","info@stkkolin.cz","Kolín","Kolín","Středočeský kraj"
"36",3211,5549,212,3.82,22,0.4,5315,95.78,NA,2.16,0.08,0.01,"OA, TRA, ZS","252 10","Mníšek pod Brdy","Nádražní 439","INTERAUTO s.r.o.","318592640","interauto@volny.cz","Černošice","Praha-západ","Středočeský kraj"
"37",3212,7829,378,4.83,56,0.72,7395,94.46,NA,3.4,0.13,0.01,"OA, TRA, ZS","269 01","Rakovník II","Luženská 1992","AUTOFIJA s.r.o.","313512332","autofija@tiscali.cz","Rakovník","Rakovník","Středočeský kraj"
"38",3213,8279,753,9.1,85,1.03,7441,89.88,NA,1.61,0.26,0.01,"OA, TRA, ZS","250 01","Brandýs nad Labem-Stará Boleslav","Zápská 2257","STK Centrum spol. s r.o.","326370055","stk@stkbrandys.cz","Brandýs nad Labem-Stará Boleslav","Praha-východ","Středočeský kraj"
"39",3214,2,0,0,0,0,2,100,NA,1,0,0,"NA, TRA, ZS","272 80","Kladno","Železničářů 885 areál ČSAD","TESTCAR s.r.o.","312680016","kladno@testcar.cz","Kladno","Kladno","Středočeský kraj"
"40",3215,5202,304,5.84,47,0.9,4851,93.25,NA,1.74,0.14,0.01,"OA, NA, TRA, ZS","278 01","Kralupy nad Vltavou","Přemyslova 431","STK Kralupy s.r.o.","315727897","info@stkkralupy.cz","Kralupy nad Vltavou","Mělník","Středočeský kraj"
"41",3216,5827,422,7.24,36,0.62,5369,92.14,NA,4.1,0.17,0.01,"OA, NA, TRA, ZS","284 45","Kutná Hora","Hrnčířská 207","UNIKOM - STK s.r.o.","327514515","stk@unikom.cz","Kutná Hora","Kutná Hora","Středočeský kraj"
"42",3217,21,1,4.76,1,4.76,19,90.48,NA,2.62,0.14,0.1,"NA, TRA, ZS","268 01","Hořovice","Masarykova 1432","STK Hořovice spol. s r.o.","311516727","jcejka@stkhorovice.cz","Hořovice","Beroun","Středočeský kraj"
"43",3218,3655,128,3.5,62,1.7,3465,94.8,NA,4.12,0.13,0.02,"OA, NA, TRA, ZS","293 06","Kosmonosy","Boleslavská 1042","BĚLOHRADSKÝ spol. s r.o.","326 327 567","stk3218@seznam.cz","Mladá Boleslav","Mladá Boleslav","Středočeský kraj"
"44",3219,6110,356,5.83,145,2.37,5609,91.8,NA,2.44,0.17,0.03,"OA, NA, TRA, ZS","281 63","Kostelec nad Černými Lesy","nám. Smiřických 16","ČSAD POLKOST spol. s r.o.","321 679 289, ústř. 679274","stk.osobni@csadpolkost.cz","Říčany","Praha-východ","Středočeský kraj"
"45",3220,0,0,0,0,0,0,0,NA,0,0,0,"NA, TRA, ZS","288 02","Nymburk","Draho u Budiměřic 14","Technický servis STK s.r.o.","325546074","stk.3220@quick.cz","Nymburk","Nymburk","Středočeský kraj"
"46",3221,5543,296,5.34,101,1.82,5146,92.84,NA,3.21,0.17,0.03,"OA, TRA, ZS","261 01","Příbram I","Drásov 121","AUTO PETRA spol. s r.o.","318 690 266, 318 690 391","stkdrasov@volny.cz","Příbram","Příbram","Středočeský kraj"
"47",3222,5396,204,3.78,49,0.91,5143,95.31,NA,2.33,0.11,0.01,"OA, TRA","252 45","Březová-Oleško","Hlavní 9","AUTO PAŘÍZEK  s.r.o.","257760944","autoparizek@seznam.cz","Černošice","Praha-západ","Středočeský kraj"
"48",3223,10249,461,4.5,44,0.43,9744,95.07,NA,2.3,0.11,0.01,"OA, NA, TRA, ZS","256 01","Benešov","Dlouhé Pole","REVIT spol. s r.o.","317 726 351","stkbenesov@seznam.cz","Benešov","Benešov","Středočeský kraj"
"49",3224,4846,207,4.27,21,0.43,4618,95.3,NA,3.05,0.13,0.01,"OA, ZS","268 01","Hořovice","Masarykova 392","STK JIKE s.r.o.","311513777","stk32_24@seznam.cz","Hořovice","Beroun","Středočeský kraj"
"50",3225,9953,461,4.63,17,0.17,9475,95.2,NA,2.84,0.12,0,"OA, NA, TRA, ZS","252 62","Horoměřice","Suchdolská 682","JISTAB, a.s.","220 970 079, 220 970 080","stk@jistab.cz","Černošice","Praha-západ","Středočeský kraj"
"51",3226,3830,133,3.47,11,0.29,3686,96.24,NA,2.21,0.09,0,"OA, TRA, ZS","250 65","Líbeznice","Mělnická 1060","BĚLOHRADSKÝ spol. s r.o.","233 930 909","stk3226@seznam.cz","Brandýs nad Labem-Stará Boleslav","Praha-východ","Středočeský kraj"
"52",3227,8898,477,5.36,115,1.29,8306,93.35,NA,3.08,0.18,0.02,"OA, NA, TRA, ZS","251 01","Říčany","Kolovratská 2020","BĚLOHRADSKÝ spol. s r.o.","323 605 363","stk3227@centrum.cz","Říčany","Praha-východ","Středočeský kraj"
"53",3228,7458,800,10.73,91,1.22,6567,88.05,NA,2.46,0.3,0.02,"OA, ZS","267 01","Králův Dvůr","Pod Hájem 372","A-Z BEROUN s.r.o.","311637777","stk3228@seznam.cz","Beroun","Beroun","Středočeský kraj"
"54",3229,4899,277,5.65,30,0.61,4592,93.73,NA,2.67,0.18,0.01,"OA, TRA","288 02","Nymburk","Dopravní 2098","BUILDING S spol. s r.o.","724750750","stk@building.cz","Nymburk","Nymburk","Středočeský kraj"
"55",3230,4157,181,4.35,68,1.64,3908,94.01,NA,2.5,0.12,0.03,"OA, TRA, ZS","286 01","Čáslav","Vrchovská 1760","ABERA spol. s r.o.","327315555","abera@abera.cz","Čáslav","Kutná Hora","Středočeský kraj"
"56",3231,10656,508,4.77,146,1.37,10002,93.86,NA,3.08,0.11,0.02,"OA, TRA, ZS","252 63","Roztoky","Přílepská 1909","Auto Holý s.r.o.","233910035","auto-holy@volny.cz","Černošice","Praha-západ","Středočeský kraj"
"57",3232,11920,296,2.48,47,0.39,11577,97.12,NA,2.55,0.06,0.01,"OA, NA, TRA, ZS","250 82","Tuklaty","Hlavní 182","TRILOBIT REAL s.r.o.","321622290","stk@trilobit-real.cz","Český Brod","Kolín","Středočeský kraj"
"58",3233,3621,86,2.38,22,0.61,3513,97.02,NA,4.9,0.07,0.01,"OA, NA, TRA, ZS","257 65","Čechtice","Loket 52","PRP spol.s r.o.","317866060","stkloket@seznam.cz","Vlašim","Benešov","Středočeský kraj"
"59",3234,11848,658,5.55,101,0.85,11089,93.59,NA,0.97,0.14,0.01,"OA, ZS","293 01","Mladá Boleslav","Havlíčkova 1432/II","STK - PECHA v.o.s.","326737780","STK3234@volny.cz","Mladá Boleslav","Mladá Boleslav","Středočeský kraj"
"60",3235,3152,242,7.68,15,0.48,2895,91.85,NA,3.14,0.22,0.01,"OA, NA, TRA, ZS","264 01","Sedlčany","Strojírenská 741","KASOKO, s.r.o.","318 820 810, 318 820 809","stksedlcany@volny.cz","Sedlčany","Příbram","Středočeský kraj"
"61",3236,4324,624,14.43,53,1.23,3647,84.34,NA,3.54,0.42,0.02,"OA, TRA, ZS","289 01","Dymokury","Nouzov 82","Karel Theer","325512484","stk.nouzov@seznam.cz","Poděbrady","Nymburk","Středočeský kraj"
"62",3237,6346,374,5.89,67,1.06,5905,93.05,NA,3.28,0.12,0.01,"OA, ZS","258 01","Vlašim","Průmyslová 1851","STK Divišov s.r.o.","317855313","info@stkvlasim.cz; schovanek@seznam.cz","Vlašim","Benešov","Středočeský kraj"
"63",3238,7582,371,4.89,9,0.12,7202,94.99,NA,2.19,0.12,0,"OA, NA, TRA, ZS","281 01","Velim","Palackého 94","STK Velim, a.s.","321762066","stkvelim@seznam.cz","Kolín","Kolín","Středočeský kraj"
"64",3239,6754,383,5.67,25,0.37,6346,93.96,NA,2.87,0.16,0,"OA, NA, TRA, ZS","271 01","Nové Strašecí","Průmyslová 1208","AR auto, s.r.o.","724 330 990","info@stknovestraseci.cz; info@arauto.cz","Rakovník","Rakovník","Středočeský kraj"
"65",3240,8968,437,4.87,51,0.57,8480,94.56,NA,1.88,0.14,0.01,"OA, NA, TRA, ZS","289 22","Lysá nad Labem","K Milovicům 1921","STK RAPTOR s.r.o","607206206","info@stklysa.cz","Lysá nad Labem","Nymburk","Středočeský kraj"
"66",3241,9786,697,7.12,129,1.32,8960,91.56,NA,3.53,0.22,0.02,"OA, ZS","261 01","Příbram V - Zdaboř","Brodská 633","SeTeKoCAR s.r.o.","605106706","a.huml@ampseteko.cz","Příbram","Příbram","Středočeský kraj"
"67",3242,6718,609,9.07,10,0.15,6099,90.79,NA,3.33,0.18,0,"OA, NA, TRA, ZS","272 03","Kladno - Dubí","Kročehlavská 1025","BĚLOHRADSKÝ spol. s r.o.","312538260","stk3242@seznam.cz","Kladno","Kladno","Středočeský kraj"
"68",3243,13355,1379,10.33,13,0.1,11963,89.58,NA,2.8,0.18,0,"OA, NA, TRA","252 41","Dolní Břežany","Pražská 830","Automobile Centre STK s.r.o.","722004004","info@stkdb.cz","Černošice","Praha-západ","Středočeský kraj"
"69",3244,2245,161,7.17,14,0.62,2070,92.2,NA,4.99,0.16,0.01,"OA, NA, TRA","293 01","Mladá Boleslav","Jičínská 414","BĚLOHRADSKÝ spol. s r.o.","315624925","stk3244@seznam.cz","Mladá Boleslav","Mladá Boleslav","Středočeský kraj"
"70",3245,3106,405,13.04,17,0.55,2684,86.41,NA,2.21,0.35,0.01,"OA, TRA","276 01","Mělník","Na Malém Spořilově 41/51","BĚLOHRADSKÝ spol. s r.o.","312310720","stk3245@seznam.cz","Mělník","Mělník","Středočeský kraj"
"71",3246,278,18,6.47,4,1.44,256,92.09,NA,1.92,0.19,0.02,"OA","273 09","Kladno-Švermov","28. října 1503","Měření 3D spol s r.o.",NA,NA,"Kladno","Kladno","Středočeský kraj"
"72",3301,5174,603,11.65,143,2.76,4428,85.58,NA,5.44,0.54,0.05,"OA, TRA, ZS","388 01","Blatná","Vrbenská 1526","STK Blatná, spol. s r. o.","383 422 706","stk.blatna@worldonline.cz","Blatná","Strakonice","Jihočeský kraj"
"73",3302,5944,555,9.34,189,3.18,5200,87.48,NA,2.94,0.27,0.04,"OA, NA, TRA, ZS","382 01","Český Krumlov","Dolní Třebonín 195","KOMAT - STK s.r.o.","380743853","stk@komat.cz","Český Krumlov","Český Krumlov","Jihočeský kraj"
"74",3303,6321,438,6.93,62,0.98,5821,92.09,NA,1.46,0.23,0.02,"OA, ZS","386 01","Strakonice","Písecká 513","STK STRAKONICE s.r.o.","383 322 228","stk@srachta-autoservis.cz","Strakonice","Strakonice","Jihočeský kraj"
"75",3304,4579,355,7.75,70,1.53,4154,90.72,NA,1.4,0.16,0.02,"OA, NA, TRA, ZS, ADR","391 02","Sezimovo Ústí","Pod Kovosvitem 1135","STK Sezimovo Ústí spol. s r.o.","381 291 277","stksu@seznam.cz","Tábor","Tábor","Jihočeský kraj"
"76",3305,4416,412,9.33,56,1.27,3948,89.4,NA,2.94,0.25,0.01,"OA, TRA, ZS","390 02","Tábor","Měšická 1993","PETA servis, spol. s r.o.","381 254 670","stkpeta@volny.cz","Tábor","Tábor","Jihočeský kraj"
"77",3306,8991,251,2.79,13,0.14,8727,97.06,NA,2.29,0.06,0,"OA, ZS","370 01","České Budějovice","Rudolfovská 17","VOŠ, SPŠ automobilní a technická","386 356 589","stk@spsautocb.cz","České Budějovice","České Budějovice","Jihočeský kraj"
"78",3307,18785,1406,7.48,147,0.78,17232,91.73,NA,1.86,0.2,0.01,"OA, NA, TRA, ZS","370 01","České Budějovice","Pekárenská 77","STK České Budějovice, s.r.o.","389 009 190-4","stk.cb@seznam.cz","České Budějovice","České Budějovice","Jihočeský kraj"
"79",3308,6859,338,4.93,76,1.11,6445,93.96,NA,0.99,0.12,0.02,"OA, TRA, ZS","377 02","Jindřichův Hradec","Jarošovská 869/II","AR PARTNER s.r.o.","384321006","stk@arpartnerjh.cz","Jindřichův Hradec","Jindřichův Hradec","Jihočeský kraj"
"80",3309,4,0,0,0,0,4,100,NA,1.25,0,0,"NA, TRA","389 01","Vodňany","Stožická 840","STK ZÁRUBA M & K s.r.o.","383382522","stk@zaruba.cz","Vodňany","Strakonice","Jihočeský kraj"
"81",3310,6472,522,8.07,72,1.11,5878,90.82,NA,3.07,0.24,0.02,"OA, ZS","397 01","Písek","Hradišťská 2439","JIKONA STK s.r.o.","382219089","jikona@volny.cz","Písek","Písek","Jihočeský kraj"
"82",3311,6786,378,5.57,53,0.78,6355,93.65,NA,3.17,0.15,0.01,"OA, NA, TRA, ZS","393 01","Pelhřimov","Skrýšovská 1968","STK PELHŘIMOV spol. s r.o.","565323110","stk@stkpelhrimov.cz","Pelhřimov","Pelhřimov","Vysočina"
"83",3312,6,0,0,0,0,6,100,NA,0.17,0,0,"NA, TRA, ZS","377 01","Jindřichův Hradec","Jitka-Otín 3","BONUS Prachatice spol. s r.o.","384326717","stkjh@stkjh.cz","Jindřichův Hradec","Jindřichův Hradec","Jihočeský kraj"
"84",3313,4616,377,8.17,18,0.39,4221,91.44,NA,2.18,0.19,0,"OA, TRA, ZS","375 01","Týn nad Vltavou","Táborská 568","STK Týn nad Vltavou s.r.o.","385732608","stktyn@gmail.com","Týn nad Vltavou","České Budějovice","Jihočeský kraj"
"85",3314,6177,431,6.98,86,1.39,5660,91.63,NA,1.61,0.16,0.02,"OA, ZS","390 02","Tábor","Pelhřimovská 2940","AUTA TEST s.r.o.","381 253 175","stk@stk-tabor.cz","Tábor","Tábor","Jihočeský kraj"
"86",3315,4152,393,9.47,59,1.42,3700,89.11,NA,1.89,0.34,0.02,"OA, ZS","384 22","Vlachovo Březí","Žižkova 117","Alena Ládová - DOZER s.r.o.","388320153","dozer.stk@cmail.cz","Prachatice","Prachatice","Jihočeský kraj"
"87",3316,6934,694,10.01,436,6.29,5804,83.7,NA,3.13,0.43,0.09,"OA, TRA, ZS","396 01","Humpolec","Pelhřimovská 738","STK Humpolec s.r.o.","565533491","stk.humpolec@tiscali.cz","Humpolec","Pelhřimov","Vysočina"
"88",3317,5,0,0,0,0,5,100,NA,0.6,0,0,"NA, TRA, ZS","384 22","Vlachovo Březí","Chlumany 100","Alena Ládová - DOZER s.r.o.","388320000","dozer.stk@cmail.cz","Prachatice","Prachatice","Jihočeský kraj"
"89",3318,26,1,3.85,0,0,25,96.15,NA,0.62,0.04,0,"NA, TRA","397 01","Písek","U Hřebčince 2534","ATOS, s.r.o.","382212564","atospisek@volny.cz","Písek","Písek","Jihočeský kraj"
"90",3319,3337,314,9.41,78,2.34,2945,88.25,NA,3.53,0.24,0.03,"OA, TRA, ZS","399 01","Milevsko","Hrejkovice 110","Tollinger s.r.o.","382211089","stk@tollingercz.cz","Milevsko","Písek","Jihočeský kraj"
"91",3320,11264,883,7.84,26,0.23,10355,91.93,NA,4.41,0.15,0,"OA, ZS","370 01","České Budějovice","Jindřicha Plachty 56/2606","Alena Ládová - DOZER s.r.o.","387314265","dozer.stk@cmail.cz","České Budějovice","České Budějovice","Jihočeský kraj"
"92",3321,2752,278,10.1,35,1.27,2439,88.63,NA,3.31,0.33,0.02,"OA, ZS","399 01","Milevsko","Sažinova 1438","Jikona STK s.r.o.","382 521 013","stk_mil@volny.cz","Milevsko","Písek","Jihočeský kraj"
"93",3322,7164,528,7.37,73,1.02,6563,91.61,NA,2.68,0.2,0.02,"OA, ZS","379 01","Třeboň","Jiráskova 1202","STK Kalivoda s.r.o.","384721865","stktrebon@tiscali.cz","Třeboň","Jindřichův Hradec","Jihočeský kraj"
"94",3323,5560,387,6.96,84,1.51,5089,91.53,NA,4.25,0.14,0.02,"OA, NA, TRA, ZS","392 01","Soběslav","Nová 514/II","PETA servis, spol. s r.o.","381 521 431","stkpetas@volny.cz","Soběslav","Tábor","Jihočeský kraj"
"95",3324,3097,184,5.94,5,0.16,2908,93.9,NA,2.54,0.15,0,"OA, ZS","392 01","Soběslav","Nová 515","STK Týn nad Vltavou s.r.o.","381 521 530","stksob@volny.cz","Soběslav","Tábor","Jihočeský kraj"
"96",3325,2956,284,9.61,62,2.1,2610,88.29,NA,3.15,0.37,0.03,"OA","383 01","Prachatice","Vodňanská 964","Alena Ládová - DOZER s.r.o.","388310656","dozer.stk@cmail.cz","Prachatice","Prachatice","Jihočeský kraj"
"97",3326,4887,368,7.53,113,2.31,4406,90.16,NA,4.74,0.25,0.03,"OA, TRA, ZS","398 01","Mirotice","Družstevní 335","STK Mirotice s.r.o.","382 229 094","stkmirotice@tiscali.cz","Písek","Písek","Jihočeský kraj"
"98",3327,4716,398,8.44,63,1.34,4255,90.22,NA,4.39,0.32,0.02,"OA, NA, TRA","382 21","Kájov","Křenov u Kájova parc. č. 265, areál BOXIT","BĚLOHRADSKÝ spol. s r.o.","380750995","stk3327@seznam.cz","Český Krumlov","Český Krumlov","Jihočeský kraj"
"99",3401,6053,492,8.13,90,1.49,5471,90.38,NA,2.61,0.21,0.02,"OA, ZS","318 03","Plzeň","Domažlická 126","AUTOKOMPLET- servis Plzeň s.r.o.","377386776","stk@autokomplet91.cz","Plzeň-město","Plzeň-město","Plzeňský kraj"
"100",3402,10247,491,4.79,77,0.75,9679,94.46,NA,3.27,0.11,0.01,"OA, ZS","356 01","Sokolov","Citická 2069","TYLINGER, s.r.o.","352600063","stksokolov@seznam.cz","Sokolov","Sokolov","Karlovarský kraj"
"101",3403,4360,126,2.89,7,0.16,4227,96.95,NA,2.15,0.09,0,"OA, TRA, ZS","342 01","Sušice","Čimice 77","Čimická STK s.r.o.","376596542","stk3403@autokalny.cz","Sušice","Klatovy","Plzeňský kraj"
"102",3404,3728,343,9.2,48,1.29,3337,89.51,NA,4.39,0.34,0.03,"OA, ZS","338 05","Mýto","Plzeňská 569","STK Mýto s.r.o.","371750316","stk.myto@mybox.cz","Rokycany","Rokycany","Plzeňský kraj"
"103",3406,7534,229,3.04,44,0.58,7261,96.38,NA,2.37,0.07,0.01,"OA, ZS","339 01","Klatovy","Domažlické předměstí 610","STK KLATOVY s.r.o.","376313938","janecek.tj@quick.cz","Klatovy","Klatovy","Plzeňský kraj"
"104",3407,4251,445,10.47,199,4.68,3607,84.85,NA,2.46,0.28,0.06,"OA, ZS","347 01","Tachov","Oldřichovská 1511","AutoKontrol - STK Tachov s.r.o.","374722753","stk34.07tc@quick.cz","Tachov","Tachov","Plzeňský kraj"
"105",3408,3720,362,9.73,60,1.61,3298,88.66,NA,3.02,0.29,0.02,"OA, TRA, ZS","346 01","Horšovský Týn","Nádražní 70","AUTO V-S spol. s.r.o.","379422728","stkhtyn@seznam.cz","Horšovský Týn","Domažlice","Plzeňský kraj"
